"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"359719183774257152","","","2013-07-23 16:58:31 +0000","web","Happy Birthay @sunfunder! What a terrific first year! https://t.co/ab0LoVElUY","","","","https://www.facebook.com/photo.php?fbid=419167608196138&set=a.250762125036688.51475.201548233291411&type=1&theater"
"357862556922150915","","","2013-07-18 14:00:57 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","RT @mtrends: How Mobile Technology is Transforming Africa http://t.co/zcyATgKAF0 incl. @fenixintl @mkopasolar @NuruEnergy @angazadesign @bu…","357831410008080384","264213","2013-07-18 11:57:10 +0000","http://tnw.to/r6Iy,http://tnw.to/r6Iy"
"357862461786963969","357830367446704129","264213","2013-07-18 14:00:34 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","@mtrends thank you for including us in your excellent overview of current trends in Africa!","","","",""
"356820590105083906","","","2013-07-15 17:00:32 +0000","web","RT @BillGates: If I had to pick one thing to make cheaper and reduce poverty, it would be energy. Great to see this news: http://t.co/ZiKqE…","352166612591321089","50393960","2013-07-02 20:47:18 +0000","http://b-gat.es/11ZntQB,http://b-gat.es/11ZntQB"
"356580556416364544","","","2013-07-15 01:06:44 +0000","web","Our new website is launched: http://t.co/zqTEIP2YtI! Thank you @devonhirth, our amazingly talented, creative and professional web designer.","","","","http://www.angazadesign.com"
"355914516279730178","","","2013-07-13 05:00:07 +0000","web","RT @EnergyAccessSF: Thanks for your great insights on #paygo and #energyaccess at our SF workshop! @angazadesign @powerhive @lumeter","355911075922849792","1553847409","2013-07-13 04:46:27 +0000",""
"355743985676988417","","","2013-07-12 17:42:30 +0000","web","Thank you @johncary for insightful comments on #womenindesign, and the importance of gender-balanced leadership. http://t.co/E0wGnK6GOF","","","","http://www.ssireview.org/blog/entry/what_john_doerr_can_do_for_women_in_design?utm_source=Enews&utm_medium=email&utm_content=1&utm_campaign=From_Blog"
"355406676020568065","","","2013-07-11 19:22:09 +0000","web","RT @energyaccessPN: SF is full of innovative practitioners! Great talks @Powerhive @fenixintl @wecaresolar @SolarAid @angazadesign @sunfund…","355373279688658946","1119981175","2013-07-11 17:09:27 +0000",""
"354972802572500992","","","2013-07-10 14:38:05 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @VC4Africa: Check out this week's #trending #ventures http://t.co/NGvE9GW0VF Congrats! @Trokxi @angazadesign @ChibuzoAnaso #Africa","354922542630322176","18203224","2013-07-10 11:18:22 +0000","http://eepurl.com/B57Xj,http://eepurl.com/B57Xj"
"352917526667206656","","","2013-07-04 22:31:09 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @engineer4change: #Jobs: Angaza Design emerging-markets solar tech company in Calif. seeks an electrical engineer http://t.co/01aVXvXYYk","352846913902612480","36077714","2013-07-04 17:50:34 +0000","http://www.angazadesign.com/contact-us/#job-opportunities,http://www.angazadesign.com/contact-us/#job-opportunities"
